,mean_fit_time,mean_score_time,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_f1,mean_train_accuracy,mean_train_balanced_accuracy,mean_train_f1,param_krr__alpha,param_krr__coef0,param_krr__degree,params,rank_test_accuracy,rank_test_balanced_accuracy,rank_test_f1,split0_test_accuracy,split0_test_balanced_accuracy,split0_test_f1,split0_train_accuracy,split0_train_balanced_accuracy,split0_train_f1,split1_test_accuracy,split1_test_balanced_accuracy,split1_test_f1,split1_train_accuracy,split1_train_balanced_accuracy,split1_train_f1,split2_test_accuracy,split2_test_balanced_accuracy,split2_test_f1,split2_train_accuracy,split2_train_balanced_accuracy,split2_train_f1,split3_test_accuracy,split3_test_balanced_accuracy,split3_test_f1,split3_train_accuracy,split3_train_balanced_accuracy,split3_train_f1,split4_test_accuracy,split4_test_balanced_accuracy,split4_test_f1,split4_train_accuracy,split4_train_balanced_accuracy,split4_train_f1,std_fit_time,std_score_time,std_test_accuracy,std_test_balanced_accuracy,std_test_f1,std_train_accuracy,std_train_balanced_accuracy,std_train_f1
148,108.58382401466369,5.450832748413086,0.792282958199357,0.6829679271032157,0.7646549635865947,0.8468268742596041,0.7498630342213617,0.8287284042880382,1,1,2,"{'krr__alpha': 1, 'krr__coef0': 1, 'krr__degree': 2}",1,29,1,0.7916737180572009,0.6839041095890411,0.7644019138755981,0.845616855643933,0.7482236109922096,0.8272989729755312,0.8011507869351836,0.6931506849315069,0.775033505648095,0.8461245557623963,0.7487372656450646,0.8278669127739127,0.7869351836182095,0.672945205479452,0.757371362497591,0.8476476561177865,0.7515623662357674,0.8298123729854907,0.7931968184125909,0.6965753424657535,0.7689981096408318,0.8476899644609918,0.7502782296036298,0.8296099962135554,0.7884582839735996,0.6682642930503252,0.7574699262708575,0.8470553393129125,0.750513698630137,0.8290537664917009,5.924595175054895,0.9601485106647273,0.004961280609520869,0.011012525147247584,0.006801715859682389,0.0008280338346742648,0.0012197166953968812,0.000984225028116223
164,141.81760573387146,19.04962840080261,0.7859197833812828,0.6854331177631979,0.7598782241501553,0.8959891690641394,0.8244298360057838,0.886805335769464,10,1,4,"{'krr__alpha': 10, 'krr__coef0': 1, 'krr__degree': 4}",2,26,2,0.7849043831443561,0.6897260273972603,0.7601434232874127,0.896979184295143,0.8258710726821333,0.8879377790050161,0.7937045185310543,0.6914383561643835,0.7681186988776869,0.8954137755965477,0.8233027994178581,0.8861144384041278,0.7827043492976815,0.6794520547945205,0.7555217060167555,0.8958368590286004,0.822789144765003,0.8864600627190555,0.7827043492976815,0.690068493150685,0.7583741061347384,0.8960484007446269,0.8256142453557058,0.8870085077029203,0.7855813166356406,0.6764806573091408,0.7572331864341829,0.8956676256557793,0.8245719178082191,0.8865058910162004,9.776414494908623,0.8018371436777735,0.004060190424675026,0.0061951324244274575,0.004386652484237805,0.0005368993765176955,0.001221659127753657,0.0006340230792827784
162,106.06661944389343,5.182556772232056,0.7845659163987138,0.6776940951916448,0.75661222753935,0.8068370282619733,0.7037874188032784,0.7826658319384107,10,1,2,"{'krr__alpha': 10, 'krr__coef0': 1, 'krr__degree': 2}",3,34,5,0.7854120832628194,0.6784246575342465,0.7575525812619502,0.8057623963445592,0.7040493108466741,0.7817862065687533,0.7938737519038754,0.6934931506849316,0.7687927107061503,0.8052970045693011,0.7027651742145364,0.7810656517602285,0.7811812489422915,0.6698630136986301,0.7515850144092218,0.8074970384159756,0.7034500470850098,0.7831681280975981,0.7818581824335759,0.6804794520547945,0.7550826524795744,0.8083008969368759,0.70447735639072,0.7841250178665015,0.780504315451007,0.6662102019856213,0.7500481788398534,0.8073278050431545,0.704195205479452,0.7831841553989716,5.616349251609048,0.6138498309562138,0.004952498347864382,0.009498502294457452,0.006632460212453559,0.001126578313443928,0.0006115055135848109,0.0010940293970120281
163,142.70534672737122,19.621959400177,0.7843966830258928,0.6827621662688234,0.7578534412200132,0.8468437975968861,0.7575508919765502,0.8301867394215536,10,1,3,"{'krr__alpha': 10, 'krr__coef0': 1, 'krr__degree': 3}",4,31,4,0.7855813166356406,0.684931506849315,0.7594456047085627,0.846082247419191,0.7565276945466998,0.829298048048048,0.79607378575055,0.6962328767123288,0.7713906279643331,0.8461668641056016,0.7550723396969438,0.8291032148900169,0.779150448468438,0.6743150684931507,0.751096700362388,0.8480707395498392,0.7577262220700283,0.8313530268163246,0.7806735488238281,0.685958904109589,0.7555639381365523,0.8467168725672702,0.75858231315812,0.8302646989927384,0.780504315451007,0.672372475179733,0.7517703349282296,0.8471822643425283,0.759845890410959,0.8309147083606404,11.824847049831975,1.2966057921500571,0.006233671718786295,0.008668152663491984,0.007398512865005732,0.0007313349276132126,0.0016463136088001734,0.000878639917827701
165,141.40580525398255,18.898543548583984,0.7833135894398376,0.6871459155008839,0.7580864960824077,0.9306820104924691,0.8769946863716163,0.9259519558699706,10,1,5,"{'krr__alpha': 10, 'krr__coef0': 1, 'krr__degree': 5}",5,24,3,0.7823658825520393,0.6897260273972603,0.757997741814076,0.9312912506346251,0.8789487201438233,0.9267081866594458,0.7909967845659164,0.6976027397260274,0.767376153701262,0.9302758503976984,0.8756955740090746,0.9254501040441508,0.7799966153325436,0.6811643835616439,0.7536945812807881,0.9306143171433406,0.877322147076449,0.9259125406577521,0.7828735826705027,0.6976027397260274,0.7605002800074668,0.9315027923506516,0.8783494563821591,0.9268711323908034,0.7803350820781858,0.6696336870934612,0.7508637236084453,0.9297258419360298,0.8746575342465753,0.9248178155977006,9.710847846608807,0.7232364764100081,0.003999926623814849,0.010656492774668506,0.005719953263233399,0.0006524818970606544,0.001606913393042287,0.0007689542840270942
134,108.56950654983521,5.2248481750488285,0.7804704687764428,0.6852274976199745,0.7551859432439822,0.8837366728718903,0.8111602262425928,0.8733515553012878,0.1,1,2,"{'krr__alpha': 0.1, 'krr__coef0': 1, 'krr__degree': 2}",6,27,6,0.7864274834997461,0.6921232876712329,0.7620663650075414,0.8807750888475208,0.8079787689410153,0.8701023324421499,0.7859197833812828,0.6934931506849316,0.761994355597366,0.8831866644102216,0.8097765602260081,0.8726417270169288,0.7730580470468776,0.6712328767123288,0.7451054932522334,0.8855982399729226,0.8143138429928944,0.8755522827687776,0.7781350482315113,0.6907534246575342,0.7547240411599625,0.883525131155864,0.810718260422909,0.8730927027151615,0.7788119817227958,0.6785347483738445,0.7520394612028077,0.8855982399729226,0.813013698630137,0.8753687315634219,4.892812456117916,1.1766682817780767,0.005066158671062478,0.008798307990358023,0.006409740357065509,0.0017915972361119159,0.0022632805611392005,0.0020020245503812525
180,142.68253598213195,18.77885494232178,0.7793873751903874,0.6748173125172933,0.7514336154451293,0.8843882213572517,0.8098760514968107,0.8737971003213527,100,1,6,"{'krr__alpha': 100, 'krr__coef0': 1, 'krr__degree': 6}",7,41,8,0.7757657810120155,0.6705479452054794,0.7471856515932074,0.8845405313927907,0.8125160517079018,0.8743033485330017,0.7865967168725673,0.6863013698630137,0.7606756500284683,0.8831443560670165,0.8072082869617327,0.8722479185938945,0.7779658148586901,0.6702054794520548,0.7489475698430922,0.8836097478422745,0.8078075507233969,0.8727743606345094,0.7781350482315113,0.6797945205479452,0.7517515622041281,0.8849213064816381,0.8110606968581457,0.8744692634299427,0.7784735149771534,0.6672372475179733,0.7486076435567505,0.8857251650025385,0.8107876712328768,0.8751906104154153,9.047575639546254,1.109957581526042,0.003728668635348235,0.007121938777592921,0.004852381479598282,0.0009217394730848456,0.0020297635012045926,0.0011041667781939797
181,141.312881565094,19.29342031478882,0.7778981215095617,0.6739959574737494,0.7499198640856943,0.9101878490438315,0.8461920306128793,0.903028523488361,100,1,7,"{'krr__alpha': 100, 'krr__coef0': 1, 'krr__degree': 7}",8,42,11,0.7776273481130479,0.6743150684931507,0.7498095963442498,0.911025554239296,0.8493279684958479,0.9041695146958304,0.7835505161617871,0.684931506849315,0.7577192650123129,0.9095447622271112,0.844020203749679,0.9021778916544655,0.7744119140294466,0.6664383561643835,0.7448803827751196,0.909967845659164,0.8448762948377707,0.9026799597548706,0.7810120155694703,0.6852739726027397,0.7556646525679758,0.9104755457776273,0.8471877407756185,0.9034142778893555,0.7728888136740565,0.6590208832591579,0.7415254237288136,0.9099255373159587,0.8455479452054795,0.9027009734472831,8.370554038775618,2.591447546790288,0.003974066615907782,0.010278636899139151,0.0061596819606203,0.0005128916046942424,0.001880871271494368,0.0006932571840176561
179,141.65369153022766,18.823906183242798,0.7774581147402269,0.6764607729572815,0.7502577252751995,0.8508630902013877,0.7674303473149817,0.835689763715339,100,1,5,"{'krr__alpha': 100, 'krr__coef0': 1, 'krr__degree': 5}",9,37,10,0.777796581485869,0.6743150684931507,0.7499523900209484,0.8502707733965138,0.769197842650458,0.8354642242782091,0.7862582501269251,0.6914383561643835,0.7617430673457838,0.8506938568285666,0.7656022600804726,0.8352089656782629,0.7728888136740565,0.6702054794520548,0.7446727549467275,0.8503553900829244,0.7652598236452358,0.8348353957506421,0.773565747165341,0.6736301369863014,0.7462063732928679,0.8510746319174141,0.7676568786918928,0.8359280320686119,0.7767811812489422,0.6727148236905169,0.7487140407696705,0.8519207987815197,0.7694349315068493,0.8370122008009686,9.790368428978818,2.1110813801021897,0.004775860531570727,0.007617156675807162,0.0060331520849898615,0.0006001226341681129,0.0017462411028173223,0.0007506785014741398
149,143.99327340126038,21.45241093635559,0.7771534946691487,0.6843374852860485,0.7521620528048076,0.9197156879336607,0.8615163293511416,0.9138389513213572,1,1,3,"{'krr__alpha': 1, 'krr__coef0': 1, 'krr__degree': 3}",10,28,7,0.7788119817227958,0.6883561643835616,0.7546461422939742,0.9196987645963784,0.8607139799674686,0.9137507952376624,0.7862582501269251,0.6907534246575342,0.7615631489522371,0.9189372144186834,0.8595154524441401,0.9128932533187853,0.7706887798273819,0.672945205479452,0.7436140018921475,0.9212641732949738,0.8638815169934081,0.9155741051581,0.7754273142663733,0.696917808219178,0.7541226607374468,0.9197410729395837,0.8622549439260337,0.9139331246313688,0.7745811474022677,0.6727148236905169,0.7468643101482326,0.9189372144186834,0.8612157534246575,0.9130434782608696,10.528501061600677,3.2106652783253935,0.0052351954783511,0.009802539329839224,0.006317128216043298,0.0008497975922669736,0.001474942906787074,0.0009544130182058574
166,140.91597108840944,18.843668508529664,0.7766796412252497,0.6828994574010588,0.7513641100758944,0.9527585039769843,0.9128826639209207,0.9502469995952636,10,1,6,"{'krr__alpha': 10, 'krr__coef0': 1, 'krr__degree': 6}",11,30,9,0.7783042816043324,0.6921232876712329,0.7552316890881913,0.9526992722964969,0.9125930999058299,0.9501738122827347,0.780504315451007,0.6907534246575342,0.7567060589007691,0.9526146556100863,0.9128499272322576,0.950102468145772,0.7728888136740565,0.6767123287671233,0.7465054778995088,0.9524877305804704,0.9121650543617841,0.9499398207997147,0.7764427145033,0.686986301369863,0.7522970185636603,0.9537569808766289,0.9148189367348686,0.9513465390607612,0.7752580808935522,0.6679219445395412,0.7460803059273424,0.9522338805212388,0.911986301369863,0.9496723576873356,8.65953411817134,1.0088628576654606,0.0025967260489174883,0.009231171024240726,0.004379264682938215,0.0005233937077066171,0.0010151355300605568,0.0005761605494262855
178,142.0856526851654,18.21905188560486,0.7720426468099508,0.6772824562802192,0.7459532695944133,0.8135471314943306,0.7263886193244385,0.7938394102148262,100,1,4,"{'krr__alpha': 100, 'krr__coef0': 1, 'krr__degree': 4}",12,36,13,0.7730580470468776,0.672945205479452,0.7455890722822993,0.814350990015231,0.7284479068572897,0.7950107446510325,0.7818581824335759,0.6941780821917808,0.7587497660490362,0.8131240480622779,0.7239106240904032,0.7929110600590744,0.7681502792350652,0.6712328767123288,0.7410207939508506,0.8132086647486885,0.72528036983135,0.7932955662718293,0.7654425452699273,0.6719178082191781,0.7389830508474576,0.814350990015231,0.7269925520075337,0.7946846341006925,0.7717041800643086,0.6761383087983567,0.7454236648424232,0.8127009646302251,0.7273116438356164,0.793295045991502,10.996565616132063,0.6268607471961328,0.00558931485308085,0.008613476123836509,0.006885879867430298,0.000678518199246217,0.0016016273846144462,0.0008414701934514028
150,140.99125208854676,20.47213010787964,0.7698426129632764,0.6864606557146408,0.7466859030368675,0.96161787104417,0.9284980116404933,0.9598550802357153,1,1,4,"{'krr__alpha': 1, 'krr__coef0': 1, 'krr__degree': 4}",13,25,12,0.7706887798273819,0.6910958904109589,0.7486551660174364,0.962387882890506,0.9303141854293296,0.9607037086151261,0.7723811135555931,0.6893835616438356,0.7495810835970955,0.9612878659671688,0.9279171303826728,0.9595007303146992,0.7676425791166018,0.6828767123287671,0.7438910650997947,0.9619647994584533,0.9287732214707645,0.9602159578705137,0.7705195464545609,0.6945205479452055,0.7494456762749446,0.9619647994584533,0.9291156579060011,0.9602300376023003,0.767981045862244,0.6744265662444369,0.7418565241950669,0.9604840074462684,0.9263698630136986,0.9586249667759368,10.588386624318275,2.7424830839233434,0.0017845897886564848,0.0071085104220112195,0.0031940705872194135,0.000667560769108702,0.0013131758606253097,0.0007252225604389156
